Unnamed:_0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people,Basketball,Judo,Football,Tug-Of-War,Athletics,Swimming,Badminton,Sailing,Gymnastics,Art_Competitions,Handball,Weightlifting,Wrestling,Water_Polo,Hockey,Rowing,Fencing,Equestrianism,Shooting,Boxing,Taekwondo,Cycling,Diving,Canoeing,Tennis,Modern_Pentathlon,Golf,Softball,Archery,Volleyball,Synchronized_Swimming,Table_Tennis,Baseball,Rhythmic_Gymnastics,Rugby_Sevens,Trampolining,Beach_Volleyball,Triathlon,Rugby,Lacrosse,Polo,Cricket,Ice_Hockey,Racquets,Motorboating,Croquet,Figure_Skating,Jeu_De_Paume,Roque,Basque_Pelota,Alpinism,Aeronautics,Cycling_Road,Artistic_Gymnastics,Karate,Baseball/Softball,Trampoline_Gymnastics,Marathon_Swimming,Canoe_Slalom,Surfing,Canoe_Sprint,Cycling_BMX_Racing,Equestrian,Artistic_Swimming,Cycling_Track,Skateboarding,Cycling_Mountain_Bike,3x3_Basketball,Cycling_BMX_Freestyle,Sport_Climbing,"Marathon_Swimming,_Swimming",Breaking,"Cycling_Road,_Cycling_Track","Cycling_Road,_Cycling_Mountain_Bike","Cycling_Road,_Triathlon","3x3_Basketball,_Basketball"
31,21,Sweden,0,0,1,1,1900,0,10,0,0,1,0,23,7,0,8,1,0,0,0,0,1,0,4,7,5,8,0,0,3,0,0,4,0,2,0,8,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,United_States,76,78,77,231,1904,1,417,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,Germany,4,5,6,15,1904,0,22,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3,Canada,4,1,1,6,1904,0,9,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,Cuba,3,0,0,3,1904,0,3,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5,Hungary,2,1,1,4,1904,0,4,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,Mixed_team,2,1,1,4,1904,0,4,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,7,Norway,2,0,0,2,1904,0,3,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8,Austria,1,1,1,3,1904,0,2,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,9,Great_Britain,1,1,0,2,1904,0,6,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,10,Switzerland,1,0,2,3,1904,0,3,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11,Greece,1,0,1,2,1904,0,11,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,12,Australia,0,3,1,4,1904,0,2,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,13,France,0,1,0,1,1904,0,1,0,0,1,0,24,10,0,0,12,0,0,2,7,1,0,5,5,0,0,7,0,7,1,0,2,0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1,Great_Britain,56,51,39,146,1908,1,550,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,United_States,23,12,12,47,1908,0,119,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3,Sweden,8,6,11,25,1908,0,151,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,4,France,5,5,9,19,1908,0,182,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,5,Germany,3,5,5,13,1908,0,80,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,Hungary,3,4,2,9,1908,0,56,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7,Canada,3,3,10,16,1908,0,76,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,8,Norway,2,3,3,8,1908,0,55,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,9,Italy,2,2,0,4,1908,0,66,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,10,Belgium,1,5,2,8,1908,0,58,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,11,Australasia,1,2,2,5,1908,0,30,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,12,Russian_Empire,1,2,0,3,1908,0,30,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,13,Finland,1,1,3,5,1908,0,62,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,14,South_Africa,1,1,0,2,1908,0,14,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,15,Greece,0,3,1,4,1908,0,20,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,16,Denmark,0,2,3,5,1908,0,78,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,17,Bohemia,0,0,2,2,1908,0,19,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,17,Netherlands,0,0,2,2,1908,0,109,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,19,Austria,0,0,1,1,1908,0,7,0,0,1,0,26,6,0,4,2,0,0,0,9,1,1,4,4,0,15,5,0,6,2,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1,United_States,26,19,19,64,1912,0,172,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2,Sweden,23,25,17,65,1912,1,365,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,3,Great_Britain,10,15,16,41,1912,0,225,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4,Finland,9,8,9,26,1912,0,132,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5,France,7,4,3,14,1912,0,99,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,6,Germany,5,13,7,25,1912,0,162,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,7,South_Africa,4,2,0,6,1912,0,21,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,8,Norway,3,2,5,10,1912,0,147,0,0,1,0,30,9,0,4,4,5,0,0,5,1,0,4,5,5,18,0,0,2,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
