Year,sport,event,host,country,gold,silver,bronze,medal,Total
1896,Athletics,Athletics_Men's_Marathon,1,GRE,1,1,0,Silver,2
1896,Athletics,Athletics_Men's_800_metres,0,HUN,0,1,0,Silver,1
1896,Athletics,"Athletics_Men's_1,500_metres",0,USA,0,1,0,Silver,1
1896,Athletics,Athletics_Men's_High_Jump,0,USA,0,1,0,Silver,1
1896,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,1,Silver,3
1896,Athletics,Athletics_Men's_400_metres,0,USA,1,1,0,Silver,2
1896,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Silver,2
1896,Cycling,Cycling_Men's_333_metres_Time_Trial,0,AUT,0,0,1,Bronze,1
1896,Cycling,"Cycling_Men's_10,000_metres",0,AUT,0,0,1,Bronze,1
1896,Cycling,Cycling_Men's_Sprint,0,FRA,1,0,1,Bronze,2
1896,Cycling,"Cycling_Men's_Road_Race,_Individual",0,GBR,0,0,1,Bronze,1
1896,Cycling,Cycling_Men's_12_Hours_Race,0,AUT,1,0,0,Gold,1
1896,Cycling,Cycling_Men's_100_kilometres,0,FRA,1,0,0,Gold,1
1896,Cycling,Cycling_Men's_Sprint,0,FRA,1,0,1,Gold,2
1896,Cycling,Cycling_Men's_333_metres_Time_Trial,0,FRA,1,0,0,Gold,1
1896,Cycling,"Cycling_Men's_10,000_metres",0,FRA,1,1,0,Gold,2
1896,Cycling,"Cycling_Men's_Road_Race,_Individual",1,GRE,1,0,0,Gold,1
1896,Cycling,"Cycling_Men's_10,000_metres",0,FRA,1,1,0,Silver,2
1896,Cycling,"Cycling_Men's_Road_Race,_Individual",0,GER,0,1,0,Silver,1
1896,Cycling,Cycling_Men's_12_Hours_Race,0,GBR,0,1,0,Silver,1
1896,Cycling,Cycling_Men's_100_kilometres,1,GRE,0,1,0,Silver,1
1896,Cycling,Cycling_Men's_Sprint,1,GRE,0,1,0,Silver,1
1896,Cycling,Cycling_Men's_333_metres_Time_Trial,1,GRE,0,1,0,Silver,1
1896,Fencing,"Fencing_Men's_Sabre,_Individual",0,DEN,0,0,1,Bronze,1
1896,Fencing,"Fencing_Men's_Foil,_Individual",1,GRE,0,0,1,Bronze,1
1896,Fencing,"Fencing_Men's_Foil,_Individual",0,FRA,1,1,0,Gold,2
1896,Fencing,"Fencing_Men's_Sabre,_Individual",1,GRE,1,1,0,Gold,2
1896,Fencing,"Fencing_Men's_Foil,_Masters,_Individual",1,GRE,1,0,0,Gold,1
1896,Fencing,"Fencing_Men's_Foil,_Individual",0,FRA,1,1,0,Silver,2
1896,Fencing,"Fencing_Men's_Foil,_Masters,_Individual",0,FRA,0,1,0,Silver,1
1896,Fencing,"Fencing_Men's_Sabre,_Individual",1,GRE,1,1,0,Silver,2
1896,Gymnastics,"Gymnastics_Men's_Parallel_Bars,_Teams",0,GRE,0,0,1,Bronze,1
1896,Gymnastics,Gymnastics_Men's_Rope_Climbing,0,GER,0,0,1,Bronze,1
1896,Gymnastics,Gymnastics_Men's_Horse_Vault,0,GER,1,0,1,Bronze,2
1896,Gymnastics,Gymnastics_Men's_Rings,1,GRE,1,0,1,Bronze,2
1896,Gymnastics,"Gymnastics_Men's_Parallel_Bars,_Teams",0,GER,1,0,0,Gold,1
1896,Gymnastics,"Gymnastics_Men's_Horizontal_Bar,_Teams",0,GER,1,0,0,Gold,1
1896,Gymnastics,Gymnastics_Men's_Parallel_Bars,0,GER,1,0,0,Gold,1
1896,Gymnastics,Gymnastics_Men's_Horse_Vault,0,GER,1,0,1,Gold,2
1896,Gymnastics,Gymnastics_Men's_Horizontal_Bar,0,GER,1,1,0,Gold,2
1896,Gymnastics,Gymnastics_Men's_Rope_Climbing,1,GRE,1,1,0,Gold,2
1896,Gymnastics,Gymnastics_Men's_Rings,1,GRE,1,0,1,Gold,2
1896,Gymnastics,Gymnastics_Men's_Pommelled_Horse,0,SUI,1,0,0,Gold,1
1896,Gymnastics,Gymnastics_Men's_Horizontal_Bar,0,GER,1,1,0,Silver,2
1896,Gymnastics,Gymnastics_Men's_Rings,0,GER,0,1,0,Silver,1
1896,Gymnastics,Gymnastics_Men's_Pommelled_Horse,0,GER,0,1,0,Silver,1
1896,Gymnastics,Gymnastics_Men's_Rope_Climbing,1,GRE,1,1,0,Silver,2
1896,Gymnastics,Gymnastics_Men's_Horse_Vault,0,SUI,0,1,0,Silver,1
1896,Gymnastics,Gymnastics_Men's_Parallel_Bars,0,SUI,0,1,0,Silver,1
1896,Shooting,"Shooting_Men's_Free_Rifle,_Three_Positions,_300_metres",0,DEN,0,0,1,Bronze,1
1896,Shooting,"Shooting_Men's_Muzzle_Loading_Pistol,_25_metres",0,DEN,0,0,1,Bronze,1
1896,Shooting,"Shooting_Men's_Military_Pistol,_25_metres",1,GRE,0,0,1,Bronze,1
1896,Shooting,"Shooting_Men's_Free_Pistol,_30_metres",1,GRE,0,0,1,Bronze,1
1896,Shooting,"Shooting_Men's_Military_Rifle,_200_metres",1,GRE,1,1,1,Bronze,3
1896,Shooting,"Shooting_Men's_Muzzle_Loading_Pistol,_25_metres",1,GRE,1,1,0,Gold,2
1896,Shooting,"Shooting_Men's_Military_Rifle,_200_metres",1,GRE,1,1,1,Gold,3
1896,Shooting,"Shooting_Men's_Free_Rifle,_Three_Positions,_300_metres",1,GRE,1,1,0,Gold,2
1896,Shooting,"Shooting_Men's_Military_Pistol,_25_metres",0,USA,1,1,0,Gold,2
1896,Shooting,"Shooting_Men's_Free_Pistol,_30_metres",0,USA,1,0,0,Gold,1
1896,Shooting,"Shooting_Men's_Free_Pistol,_30_metres",0,DEN,0,1,0,Silver,1
1896,Shooting,"Shooting_Men's_Free_Rifle,_Three_Positions,_300_metres",1,GRE,1,1,0,Silver,2
1896,Shooting,"Shooting_Men's_Muzzle_Loading_Pistol,_25_metres",1,GRE,1,1,0,Silver,2
1896,Shooting,"Shooting_Men's_Military_Rifle,_200_metres",1,GRE,1,1,1,Silver,3
1896,Shooting,"Shooting_Men's_Military_Pistol,_25_metres",0,USA,1,1,0,Silver,2
1896,Swimming,Swimming_Men's_100_metres_Freestyle_For_Sailors,1,GRE,1,1,1,Bronze,3
1896,Swimming,Swimming_Men's_500_metres_Freestyle,1,GRE,0,1,1,Bronze,2
1896,Swimming,Swimming_Men's_500_metres_Freestyle,0,AUT,1,0,0,Gold,1
1896,Swimming,Swimming_Men's_100_metres_Freestyle_For_Sailors,1,GRE,1,1,1,Gold,3
1896,Swimming,Swimming_Men's_100_metres_Freestyle,0,HUN,1,0,0,Gold,1
1896,Swimming,"Swimming_Men's_1,200_metres_Freestyle",0,HUN,1,0,0,Gold,1
1896,Swimming,Swimming_Men's_100_metres_Freestyle,0,AUT,0,1,0,Silver,1
1896,Swimming,"Swimming_Men's_1,200_metres_Freestyle",1,GRE,0,1,0,Silver,1
1896,Swimming,Swimming_Men's_100_metres_Freestyle_For_Sailors,1,GRE,1,1,1,Silver,3
1896,Swimming,Swimming_Men's_500_metres_Freestyle,1,GRE,0,1,1,Silver,2
1896,Tennis,Tennis_Men's_Doubles,0,AUS,0,0,1,Bronze,1
1896,Tennis,Tennis_Men's_Doubles,0,GBR,1,0,1,Bronze,2
1896,Tennis,Tennis_Men's_Singles,1,GRE,0,1,1,Bronze,2
1896,Tennis,Tennis_Men's_Singles,0,HUN,0,0,1,Bronze,1
1896,Tennis,Tennis_Men's_Singles,0,GBR,1,0,0,Gold,1
1896,Tennis,Tennis_Men's_Doubles,0,GBR,1,0,1,Gold,2
1896,Tennis,Tennis_Men's_Doubles,0,GER,1,0,0,Gold,1
1896,Tennis,Tennis_Men's_Singles,1,GRE,0,1,1,Silver,2
1896,Tennis,Tennis_Men's_Doubles,1,GRE,0,1,0,Silver,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_One_Hand",1,GRE,0,0,1,Bronze,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_Two_Hands",1,GRE,0,0,1,Bronze,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_Two_Hands",0,DEN,1,0,0,Gold,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_One_Hand",0,GBR,1,0,0,Gold,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_One_Hand",0,DEN,0,1,0,Silver,1
1896,Weightlifting,"Weightlifting_Men's_Unlimited,_Two_Hands",0,GBR,0,1,0,Silver,1
1896,Wrestling,"Wrestling_Men's_Unlimited_Class,_Greco_Roman",1,GRE,0,1,1,Bronze,2
1896,Wrestling,"Wrestling_Men's_Unlimited_Class,_Greco_Roman",0,GER,1,0,0,Gold,1
1896,Wrestling,"Wrestling_Men's_Unlimited_Class,_Greco_Roman",1,GRE,0,1,1,Silver,2
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Pyramide,0,BEL,0,0,1,Bronze,1
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_50_metres",1,FRA,1,0,1,Bronze,2
1900,Archery,"Archery_Men's_Au_Chapelet,_50_metres",1,FRA,1,1,1,Bronze,3
1900,Archery,"Archery_Men's_Au_Chapelet,_33_metres",1,FRA,0,1,1,Bronze,2
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_33_metres",1,FRA,0,1,1,Bronze,2
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Herse,0,BEL,1,1,0,Gold,2
1900,Archery,"Archery_Men's_Au_Chapelet,_33_metres",0,BEL,1,0,0,Gold,1
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_33_metres",0,BEL,1,0,0,Gold,1
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Pyramide,1,FRA,1,1,0,Gold,2
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_50_metres",1,FRA,1,0,1,Gold,2
1900,Archery,Archery_Men's_Championnat_Du_Monde,1,FRA,1,0,0,Gold,1
1900,Archery,"Archery_Men's_Au_Chapelet,_50_metres",1,FRA,1,1,1,Gold,3
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Herse,0,BEL,1,1,0,Silver,2
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_50_metres",0,BEL,0,1,0,Silver,1
1900,Archery,Archery_Men's_Championnat_Du_Monde,0,BEL,0,1,0,Silver,1
1900,Archery,"Archery_Men's_Au_Chapelet,_50_metres",1,FRA,1,1,1,Silver,3
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Herse,1,FRA,0,1,0,Silver,1
1900,Archery,Archery_Men's_Sur_La_Perche_a_La_Pyramide,1,FRA,1,1,0,Silver,2
1900,Archery,"Archery_Men's_Au_Chapelet,_33_metres",1,FRA,0,1,1,Silver,2
1900,Archery,"Archery_Men's_Au_Cordon_Dore,_33_metres",1,FRA,0,1,1,Silver,2
1900,Athletics,Athletics_Men's_60_metres,0,AUS,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_100_metres,0,AUS,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_200_metres,0,AUS,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_400_metres_Hurdles,0,CAN,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_400_metres,0,DEN,0,0,1,Bronze,1
1900,Athletics,"Athletics_Men's_2,500_metres_Steeplechase",1,FRA,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Standing_Long_Jump,1,FRA,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Long_Jump,0,GBR,0,0,1,Bronze,1
1900,Athletics,"Athletics_Men's_4,000_metres_Steeplechase",0,GBR,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_High_Jump,0,HUN,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Pole_Vault,0,NOR,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Marathon,0,SWE,0,0,1,Bronze,1
1900,Athletics,"Athletics_Men's_1,500_metres",0,USA,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Standing_Triple_Jump,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_800_metres,0,USA,0,1,1,Bronze,2
1900,Athletics,Athletics_Men's_Hammer_Throw,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_Discus_Throw,0,USA,0,0,1,Bronze,1
1900,Athletics,Athletics_Men's_Standing_High_Jump,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_Triple_Jump,0,USA,1,1,1,Bronze,3
1900,Athletics,Athletics_Men's_200_metres_Hurdles,0,USA,1,0,1,Bronze,2
1900,Athletics,"Athletics_Men's_5,000_metres,_Team",0,GBR,1,0,0,Gold,1
1900,Athletics,"Athletics_Men's_5,000_metres,_Team",0,AUS,1,0,0,Gold,1
1900,Athletics,"Athletics_Men's_2,500_metres_Steeplechase",0,CAN,1,0,0,Gold,1
1900,Athletics,"Athletics_Men's_1,500_metres",0,GBR,1,0,0,Gold,1
1900,Athletics,"Athletics_Men's_4,000_metres_Steeplechase",0,GBR,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_800_metres,0,GBR,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_Discus_Throw,0,HUN,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_Marathon,0,LUX,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_High_Jump,0,USA,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_Standing_High_Jump,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_Standing_Long_Jump,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_Standing_Triple_Jump,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_Hammer_Throw,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_100_metres,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_60_metres,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_200_metres_Hurdles,0,USA,1,0,1,Gold,2
1900,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_400_metres,0,USA,1,1,0,Gold,2
1900,Athletics,Athletics_Men's_Triple_Jump,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Gold,3
1900,Athletics,Athletics_Men's_200_metres,0,USA,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_400_metres_Hurdles,0,USA,1,0,0,Gold,1
1900,Athletics,Athletics_Men's_Discus_Throw,0,BOH,0,1,0,Silver,1
1900,Athletics,Athletics_Men's_Marathon,1,FRA,0,1,0,Silver,1
1900,Athletics,"Athletics_Men's_1,500_metres",1,FRA,0,1,0,Silver,1
1900,Athletics,Athletics_Men's_400_metres_Hurdles,1,FRA,0,1,0,Silver,1
1900,Athletics,"Athletics_Men's_4,000_metres_Steeplechase",0,GBR,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_High_Jump,0,GBR,0,1,0,Silver,1
1900,Athletics,"Athletics_Men's_2,500_metres_Steeplechase",0,GBR,0,1,0,Silver,1
1900,Athletics,Athletics_Men's_200_metres,0,IND,0,1,0,Silver,1
1900,Athletics,Athletics_Men's_200_metres_Hurdles,0,IND,0,1,0,Silver,1
1900,Athletics,"Athletics_Men's_5,000_metres,_Team",1,FRA,0,1,0,Silver,1
1900,Athletics,Athletics_Men's_Standing_High_Jump,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_Standing_Long_Jump,0,USA,1,1,0,Silver,2
1900,Athletics,Athletics_Men's_Standing_Triple_Jump,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Silver,2
1900,Athletics,Athletics_Men's_Triple_Jump,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_800_metres,0,USA,0,1,1,Silver,2
1900,Athletics,Athletics_Men's_Hammer_Throw,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_400_metres,0,USA,1,1,0,Silver,2
1900,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Silver,3
1900,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,0,Silver,2
1900,Athletics,Athletics_Men's_60_metres,0,USA,1,1,0,Silver,2
1900,Athletics,Athletics_Men's_100_metres,0,USA,1,1,0,Silver,2
1900,Basque_Pelota,Basque_Pelota_Men's_Two_Man_Teams_With_Cesta,0,ESP,1,0,0,Gold,1
1900,Cricket,Cricket_Men's_Cricket,0,GBR,1,0,0,Gold,1
1900,Cricket,Cricket_Men's_Cricket,0,GBR,0,1,0,Silver,1
1900,Cricket,Cricket_Men's_Cricket,0,FRA,0,1,0,Silver,1
1900,Croquet,"Croquet_Mixed_Singles,_Two_Balls",1,FRA,1,1,1,Bronze,3
1900,Croquet,"Croquet_Mixed_Singles,_One_Ball",1,FRA,1,1,1,Bronze,3
1900,Croquet,"Croquet_Mixed_Singles,_One_Ball",1,FRA,1,1,1,Gold,3
1900,Croquet,Croquet_Mixed_Doubles,1,FRA,1,0,0,Gold,1
1900,Croquet,"Croquet_Mixed_Singles,_Two_Balls",1,FRA,1,1,1,Gold,3
1900,Croquet,"Croquet_Mixed_Singles,_One_Ball",1,FRA,1,1,1,Silver,3
1900,Croquet,"Croquet_Mixed_Singles,_Two_Balls",1,FRA,1,1,1,Silver,3
1900,Cycling,Cycling_Men's_25_kilometres,1,FRA,1,0,1,Bronze,2
1900,Cycling,Cycling_Men's_Points_Race,1,FRA,0,0,1,Bronze,1
1900,Cycling,Cycling_Men's_Sprint,0,USA,0,0,1,Bronze,1
1900,Cycling,Cycling_Men's_25_kilometres,1,FRA,1,0,1,Gold,2
1900,Cycling,Cycling_Men's_Sprint,1,FRA,1,1,0,Gold,2
1900,Cycling,Cycling_Men's_Points_Race,0,ITA,1,0,0,Gold,1
1900,Cycling,Cycling_Men's_Sprint,1,FRA,1,1,0,Silver,2
1900,Cycling,Cycling_Men's_Points_Race,0,GER,0,1,0,Silver,1
1900,Cycling,Cycling_Men's_25_kilometres,0,GBR,0,1,0,Silver,1
1900,Equestrianism,Equestrianism_Mixed_High_Jump,0,BEL,0,0,1,Bronze,1
1900,Equestrianism,"Equestrianism_Mixed_Jumping,_Individual",1,FRA,0,0,1,Bronze,1
1900,Equestrianism,Equestrianism_Mixed_Hacks_And_Hunter_Combined,1,FRA,1,1,1,Bronze,3
1900,Equestrianism,Equestrianism_Mixed_Long_Jump,1,FRA,0,0,1,Bronze,1
1900,Equestrianism,Equestrianism_Mixed_Four_In_Hand_Competition,1,FRA,0,1,1,Bronze,2
1900,Equestrianism,"Equestrianism_Mixed_Jumping,_Individual",0,BEL,1,1,0,Gold,2
1900,Equestrianism,Equestrianism_Mixed_Long_Jump,0,BEL,1,0,0,Gold,1
1900,Equestrianism,Equestrianism_Mixed_Four_In_Hand_Competition,0,BEL,1,0,0,Gold,1
1900,Equestrianism,Equestrianism_Mixed_High_Jump,1,FRA,1,0,0,Gold,1
1900,Equestrianism,Equestrianism_Mixed_Hacks_And_Hunter_Combined,1,FRA,1,1,1,Gold,3
1900,Equestrianism,Equestrianism_Mixed_High_Jump,0,ITA,1,0,0,Gold,1
1900,Equestrianism,"Equestrianism_Mixed_Jumping,_Individual",0,BEL,1,1,0,Silver,2
1900,Equestrianism,Equestrianism_Mixed_Hacks_And_Hunter_Combined,1,FRA,1,1,1,Silver,3
1900,Equestrianism,Equestrianism_Mixed_Four_In_Hand_Competition,1,FRA,0,1,1,Silver,2
1900,Equestrianism,Equestrianism_Mixed_Long_Jump,0,ITA,0,1,0,Silver,1
1900,Fencing,"Fencing_Men's_Sabre,_Individual",0,AUT,0,0,1,Bronze,1
1900,Fencing,"Fencing_Men's_Sabre,_Masters,_Individual",0,AUT,0,0,1,Bronze,1
1900,Fencing,"Fencing_Men's_Foil,_Individual",1,FRA,1,1,1,Bronze,3
1900,Fencing,"Fencing_Men's_epee,_Masters,_Individual",1,FRA,1,1,1,Bronze,3
1900,Fencing,"Fencing_Men's_Foil,_Masters,_Individual",1,FRA,1,1,1,Bronze,3
1900,Fencing,"Fencing_Men's_epee,_Individual",1,FRA,0,1,1,Bronze,2
1900,Fencing,"Fencing_Men's_epee,_Masters_and_Amateurs,_Individual",1,FRA,1,0,1,Bronze,2
1900,Fencing,"Fencing_Men's_epee,_Individual",0,CUB,1,0,0,Gold,1
1900,Fencing,"Fencing_Men's_epee,_Masters,_Individual",1,FRA,1,1,1,Gold,3
1900,Fencing,"Fencing_Men's_epee,_Masters_and_Amateurs,_Individual",1,FRA,1,0,1,Gold,2
1900,Fencing,"Fencing_Men's_Foil,_Individual",1,FRA,1,1,1,Gold,3
1900,Fencing,"Fencing_Men's_Sabre,_Individual",1,FRA,1,1,0,Gold,2
1900,Fencing,"Fencing_Men's_Foil,_Masters,_Individual",1,FRA,1,1,1,Gold,3
1900,Fencing,"Fencing_Men's_Sabre,_Masters,_Individual",0,ITA,1,1,0,Gold,2
1900,Fencing,"Fencing_Men's_epee,_Masters_and_Amateurs,_Individual",0,CUB,0,1,0,Silver,1
1900,Fencing,"Fencing_Men's_epee,_Masters,_Individual",1,FRA,1,1,1,Silver,3
1900,Fencing,"Fencing_Men's_Foil,_Masters,_Individual",1,FRA,1,1,1,Silver,3
1900,Fencing,"Fencing_Men's_Foil,_Individual",1,FRA,1,1,1,Silver,3
1900,Fencing,"Fencing_Men's_epee,_Individual",1,FRA,0,1,1,Silver,2
1900,Fencing,"Fencing_Men's_Sabre,_Individual",1,FRA,1,1,0,Silver,2
1900,Fencing,"Fencing_Men's_Sabre,_Masters,_Individual",0,ITA,1,1,0,Silver,2
1900,Football,Football_Men's_Football,0,BEL,0,0,1,Bronze,1
1900,Football,Football_Men's_Football,0,GBR,0,0,1,Bronze,1
1900,Football,Football_Men's_Football,0,NED,0,0,1,Bronze,1
1900,Football,Football_Men's_Football,0,GBR,1,0,0,Gold,1
1900,Football,Football_Men's_Football,0,FRA,0,1,0,Silver,1
1900,Golf,Golf_Men's_Individual,0,GBR,0,1,1,Bronze,2
1900,Golf,Golf_Women's_Individual,0,USA,1,1,1,Bronze,3
1900,Golf,Golf_Women's_Individual,0,USA,1,1,1,Gold,3
1900,Golf,Golf_Men's_Individual,0,USA,1,0,0,Gold,1
1900,Golf,Golf_Men's_Individual,0,GBR,0,1,1,Silver,2
1900,Golf,Golf_Women's_Individual,0,USA,1,1,1,Silver,3
1900,Gymnastics,Gymnastics_Men's_Individual_All_Around,1,FRA,1,1,1,Bronze,3
1900,Gymnastics,Gymnastics_Men's_Individual_All_Around,1,FRA,1,1,1,Gold,3
1900,Gymnastics,Gymnastics_Men's_Individual_All_Around,1,FRA,1,1,1,Silver,3
1900,Polo,Polo_Men's_Polo,0,MEX,0,0,1,Bronze,1
1900,Polo,Polo_Men's_Polo,0,USA,0,0,1,Bronze,1
1900,Polo,Polo_Men's_Polo,0,FRA,0,0,1,Bronze,1
1900,Polo,Polo_Men's_Polo,0,GBR,0,0,1,Bronze,1
1900,Polo,Polo_Men's_Polo,0,GBR,1,0,0,Gold,1
1900,Polo,Polo_Men's_Polo,0,USA,1,0,0,Gold,1
1900,Polo,Polo_Men's_Polo,0,GBR,0,1,0,Silver,1
1900,Polo,Polo_Men's_Polo,0,FRA,0,1,0,Silver,1
1900,Polo,Polo_Men's_Polo,0,USA,0,1,0,Silver,1
1900,Rowing,Rowing_Men's_Coxed_Fours,0,GER,0,0,1,Bronze,1
1900,Rowing,Rowing_Men's_Single_Sculls,0,GBR,0,0,1,Bronze,1
1900,Rowing,Rowing_Men's_Coxed_Eights,0,NED,0,0,1,Bronze,1
1900,Rowing,Rowing_Men's_Coxed_Pairs,0,FRA,0,0,1,Bronze,1
1900,Rowing,Rowing_Men's_Coxed_Fours,0,FRA,1,0,0,Gold,1
1900,Rowing,Rowing_Men's_Single_Sculls,1,FRA,1,1,0,Gold,2
1900,Rowing,Rowing_Men's_Coxed_Fours,0,GER,1,0,0,Gold,1
1900,Rowing,Rowing_Men's_Coxed_Pairs,0,NED,1,0,0,Gold,1
1900,Rowing,Rowing_Men's_Coxed_Eights,0,USA,1,0,0,Gold,1
1900,Rowing,Rowing_Men's_Coxed_Fours,0,FRA,0,1,0,Silver,1
1900,Rowing,Rowing_Men's_Single_Sculls,1,FRA,1,1,0,Silver,2
1900,Rowing,Rowing_Men's_Coxed_Fours,0,NED,0,1,0,Silver,1
1900,Rowing,Rowing_Men's_Coxed_Eights,0,BEL,0,1,0,Silver,1
1900,Rowing,Rowing_Men's_Coxed_Pairs,0,FRA,0,1,0,Silver,1
1900,Rugby,Rugby_Men's_Rugby,0,FRA,1,0,0,Gold,1
1900,Rugby,Rugby_Men's_Rugby,0,HAI,1,0,0,Gold,1
1900,Rugby,Rugby_Men's_Rugby,0,USA,1,0,0,Gold,1
1900,Rugby,Rugby_Men's_Rugby,0,GER,0,1,0,Silver,1
1900,Rugby,Rugby_Men's_Rugby,0,GBR,0,1,0,Silver,1
