Rank,NOC,Gold,Silver,Bronze,Total,Year,Year_inconsistent
3,United States,34,35,25,94,1976,False
1,Soviet Union,80,69,46,195,1980,False
2,East Germany,47,37,42,126,1980,False
1,United States,83,61,30,174,1984,False
2,Romania,20,16,17,53,1984,False
3,West Germany,17,19,23,59,1984,False
4,China,15,8,9,32,1984,False
5,Italy,14,6,12,32,1984,False
1,Soviet Union,55,31,46,132,1988,False
2,East Germany,37,35,30,102,1988,False
3,United States,36,31,27,94,1988,False
4,South Korea,12,10,11,33,1988,False
5,West Germany,11,14,15,40,1988,False
6,Hungary,11,6,6,23,1988,False
1,Unified Team,45,38,29,112,1992,False
2,United States,37,34,37,108,1992,False
3,Germany,33,21,28,82,1992,False
4,China,16,22,16,54,1992,False
5,Cuba,14,6,11,31,1992,False
6,Spain,13,7,2,22,1992,False
7,South Korea,12,5,12,29,1992,False
8,Hungary,11,12,7,30,1992,False
1,United States,44,32,25,101,1996,False
2,Russia,26,21,16,63,1996,False
3,Germany,20,18,27,65,1996,False
4,China,16,22,12,50,1996,False
5,France,15,7,15,37,1996,False
6,Italy,13,10,12,35,1996,False
7,Australia,9,9,23,41,1996,False
8,Cuba,9,8,8,25,1996,False
9,Ukraine,9,2,12,23,1996,False
1,United States,37,24,32,93,2000,False
2,Russia,32,28,29,89,2000,False
3,China,28,16,14,58,2000,False
4,Australia,16,25,17,58,2000,False
5,Germany,13,17,26,56,2000,False
6,France,13,14,11,38,2000,False
7,Italy,13,8,13,34,2000,False
8,Netherlands,12,9,4,25,2000,False
9,Cuba,11,11,7,29,2000,False
10,Great Britain,11,10,7,28,2000,False
11,Romania,11,6,9,26,2000,False
1,United States,36,39,26,101,2004,False
2,China,32,17,14,63,2004,False
3,Russia,28,26,36,90,2004,False
4,Australia,17,16,17,50,2004,False
5,Japan,16,9,12,37,2004,False
6,Germany,13,16,20,49,2004,False
7,France,11,9,13,33,2004,False
8,Italy,10,11,11,32,2004,False
9,South Korea,9,12,9,30,2004,False
10,Great Britain,9,9,12,30,2004,False
11,Cuba,9,7,11,27,2004,False
12,Hungary,8,6,3,17,2004,False
13,Ukraine,8,5,9,22,2004,False
14,Romania,8,5,6,19,2004,False
1,China,48,22,30,100,2008,False
2,United States,36,39,37,112,2008,False
3,Russia,24,13,23,60,2008,False
4,Great Britain,19,13,19,51,2008,False
5,Germany,16,11,14,41,2008,False
6,Australia,14,15,17,46,2008,False
7,South Korea,13,11,8,32,2008,False
8,Japan,9,8,8,25,2008,False
9,Italy,8,9,10,27,2008,False
1,United States,48,26,30,104,2012,False
2,China,39,31,22,92,2012,False
3,Great Britain,29,18,18,65,2012,False
4,Russia,18,21,26,65,2012,False
5,South Korea,13,9,9,31,2012,False
6,Germany,11,20,13,44,2012,False
7,France,11,11,13,35,2012,False
8,Australia,8,15,12,35,2012,False
9,Italy,8,9,11,28,2012,False
10,Hungary,8,4,6,18,2012,False
1,United States,46,37,38,121,2016,False
2,Great Britain,27,23,17,67,2016,False
3,China,26,18,26,70,2016,False
4,Russia,19,17,20,56,2016,False
5,Germany,17,10,15,42,2016,False
6,Japan,12,8,21,41,2016,False
7,France,10,18,14,42,2016,False
8,South Korea,9,3,9,21,2016,False
9,Italy,8,12,8,28,2016,False
10,Australia,8,11,10,29,2016,False
11,Netherlands,8,7,4,19,2016,False
12,Hungary,8,3,4,15,2016,False
1,United States,39,41,33,113,2020,False
2,China,38,32,19,89,2020,False
3,Japan,27,14,17,58,2020,False
4,Great Britain,22,20,22,64,2020,False
5,ROC,20,28,23,71,2020,False
6,Australia,17,7,22,46,2020,False
7,Netherlands,10,12,14,36,2020,False
8,France,10,12,11,33,2020,False
9,Germany,10,11,16,37,2020,False
10,Italy,10,10,20,40,2020,False
1,United States,40,44,42,126,2024,False
2,China,40,27,24,91,2024,False
3,Japan,20,12,13,45,2024,False
4,Australia,18,19,16,53,2024,False
5,France,16,26,22,64,2024,False
6,Netherlands,15,7,12,34,2024,False
7,Great Britain,14,22,29,65,2024,False
8,South Korea,13,9,10,32,2024,False
9,Italy,12,13,15,40,2024,False
10,Germany,12,13,8,33,2024,False
11,New Zealand,10,7,3,20,2024,False
12,Canada,9,7,11,27,2024,False
13,Uzbekistan,8,2,3,13,2024,False
